,archor,url
275,博士生导师,http://cc.nankai.edu.cn/bssds/list.htm
276,系所中心,http://cc.nankai.edu.cn/13280/list.htm
277,学术团队,http://cc.nankai.edu.cn/13281/list.htm
278,合作院校分布,http://cc.nankai.edu.cn/13289/list.htm
279,联合培养项目,http://cc.nankai.edu.cn/13290/list.htm
280,最新动态,http://cc.nankai.edu.cn/13291/list.htm
281,学院公告,http://cc.nankai.edu.cn/13292/list.htm
282,学生工作通知,http://cc.nankai.edu.cn/13293/list.htm
283,科研信息,http://cc.nankai.edu.cn/13294/list.htm
284,本科生教学,http://cc.nankai.edu.cn/13295/list.htm
285,党团园地,http://cc.nankai.edu.cn/13296/list.htm
286,研究生招生,http://cc.nankai.edu.cn/13297/list.htm
287,研究生教学,http://cc.nankai.edu.cn/13298/list.htm
288,就业信息,http://cc.nankai.edu.cn/13299/list.htm
289,机构设置,http://cc.nankai.edu.cn/xyzsbgs/list.htm
290,院长信箱,http://cc.nankai.edu.cn/13301/list.htm
291,系所中心,http://cc.nankai.edu.cn/13280/list.htm
292,计算机科学与技术系,http://cc.nankai.edu.cn/13282/list.htm
293,公共计算机基础教学部,http://cc.nankai.edu.cn/13283/list.htm
294,实验教学中心,http://cc.nankai.edu.cn/13284/list.htm
295,国家级虚拟仿真实验教学中心,http://cc.nankai.edu.cn/13285/list.htm
296,大数据技术研究所,http://cc.nankai.edu.cn/13286/list.htm
297,机器智能研究所,http://cc.nankai.edu.cn/13287/list.htm
298,系统与网络研究所,http://cc.nankai.edu.cn/13288/list.htm
299,学术团队,http://cc.nankai.edu.cn/13281/list.htm
300,学院概况,http://cc.nankai.edu.cn/13256/list.htm
301,学院领导,http://cc.nankai.edu.cn/xxld/list.htm
302,学院党委,http://cc.nankai.edu.cn/xydw/list.htm
303,组织结构,http://cc.nankai.edu.cn/13280/list.htm
304,学科学术分委会,http://cc.nankai.edu.cn/xkxsfwh/list.htm
305,学位评定分委会,http://cc.nankai.edu.cn/xwpdfwh/list.htm
306,教代会、工会委员会,http://cc.nankai.edu.cn/jdhwghwyh/list.htm
307,专业技术职务评审分委员会,http://cc.nankai.edu.cn/zyjszwpsfwh/list.htm
308,学科结构,http://cc.nankai.edu.cn/13262/list.htm
309,计算机科学与技术学科,http://cc.nankai.edu.cn/13263/list.htm
310,教授/研究员,http://cc.nankai.edu.cn/jswyjy/list.htm
311,副教授/副研究员,http://cc.nankai.edu.cn/fjswfyjy/list.htm
312,讲师,http://cc.nankai.edu.cn/js/list.htm
313,实验教学队伍,http://cc.nankai.edu.cn/syjxdw/list.htm
314,博士后,http://cc.nankai.edu.cn/bsh/list.htm
315,兼职教授,http://cc.nankai.edu.cn/jzjs/list.htm
316,本科教育,http://cc.nankai.edu.cn/13272/list.htm
317,研究生教育,http://cc.nankai.edu.cn/13273/list.htm
318,硕士生导师,http://cc.nankai.edu.cn/13274/list.htm
319,博士生导师,http://cc.nankai.edu.cn/bssds/list.htm
320,系所中心,http://cc.nankai.edu.cn/13280/list.htm
321,学术团队,http://cc.nankai.edu.cn/13281/list.htm
322,合作院校分布,http://cc.nankai.edu.cn/13289/list.htm
323,联合培养项目,http://cc.nankai.edu.cn/13290/list.htm
324,最新动态,http://cc.nankai.edu.cn/13291/list.htm
325,学院公告,http://cc.nankai.edu.cn/13292/list.htm
326,学生工作通知,http://cc.nankai.edu.cn/13293/list.htm
327,科研信息,http://cc.nankai.edu.cn/13294/list.htm
328,本科生教学,http://cc.nankai.edu.cn/13295/list.htm
329,党团园地,http://cc.nankai.edu.cn/13296/list.htm
330,研究生招生,http://cc.nankai.edu.cn/13297/list.htm
331,研究生教学,http://cc.nankai.edu.cn/13298/list.htm
332,就业信息,http://cc.nankai.edu.cn/13299/list.htm
333,机构设置,http://cc.nankai.edu.cn/xyzsbgs/list.htm
334,院长信箱,http://cc.nankai.edu.cn/13301/list.htm
335,学院概况,http://cc.nankai.edu.cn/13256/list.htm
336,学院领导,http://cc.nankai.edu.cn/xxld/list.htm
337,学院党委,http://cc.nankai.edu.cn/xydw/list.htm
338,组织结构,http://cc.nankai.edu.cn/13280/list.htm
339,学科学术分委会,http://cc.nankai.edu.cn/xkxsfwh/list.htm
340,学位评定分委会,http://cc.nankai.edu.cn/xwpdfwh/list.htm
341,教代会、工会委员会,http://cc.nankai.edu.cn/jdhwghwyh/list.htm
342,专业技术职务评审分委员会,http://cc.nankai.edu.cn/zyjszwpsfwh/list.htm
343,袁晓洁,http://cc.nankai.edu.cn/2022/0602/c13524a455835/page.htm
344,刘晓光,http://cc.nankai.edu.cn/2022/0602/c13525a455840/page.htm
345,贾春福,http://cc.nankai.edu.cn/2022/0602/c13525a455837/page.htm
346,卫金茂,http://cc.nankai.edu.cn/2022/0602/c13526a455844/page.htm
347,杨征路,http://cc.nankai.edu.cn/2022/0602/c13526a455843/page.htm
348,杨愚鲁,http://cc.nankai.edu.cn/2022/0602/c13526a455842/page.htm
349,徐敬东,http://cc.nankai.edu.cn/2022/0602/c13526a455841/page.htm
350,程明明,http://cc.nankai.edu.cn/2022/0602/c13526a455839/page.htm
351,刘哲理,http://cc.nankai.edu.cn/2022/0602/c13527a455838/page.htm
352,学院概况,http://cc.nankai.edu.cn/13256/list.htm
353,学院领导,http://cc.nankai.edu.cn/xxld/list.htm
354,学院党委,http://cc.nankai.edu.cn/xydw/list.htm
355,组织结构,http://cc.nankai.edu.cn/13280/list.htm
356,学科学术分委会,http://cc.nankai.edu.cn/xkxsfwh/list.htm
357,学位评定分委会,http://cc.nankai.edu.cn/xwpdfwh/list.htm
358,教代会、工会委员会,http://cc.nankai.edu.cn/jdhwghwyh/list.htm
359,专业技术职务评审分委员会,http://cc.nankai.edu.cn/zyjszwpsfwh/list.htm
360,学科结构,http://cc.nankai.edu.cn/13262/list.htm
361,计算机科学与技术学科,http://cc.nankai.edu.cn/13263/list.htm
362,教授/研究员,http://cc.nankai.edu.cn/jswyjy/list.htm
363,副教授/副研究员,http://cc.nankai.edu.cn/fjswfyjy/list.htm
364,讲师,http://cc.nankai.edu.cn/js/list.htm
365,实验教学队伍,http://cc.nankai.edu.cn/syjxdw/list.htm
366,博士后,http://cc.nankai.edu.cn/bsh/list.htm
367,兼职教授,http://cc.nankai.edu.cn/jzjs/list.htm
368,本科教育,http://cc.nankai.edu.cn/13272/list.htm
369,研究生教育,http://cc.nankai.edu.cn/13273/list.htm
370,硕士生导师,http://cc.nankai.edu.cn/13274/list.htm
371,博士生导师,http://cc.nankai.edu.cn/bssds/list.htm
372,系所中心,http://cc.nankai.edu.cn/13280/list.htm
373,学术团队,http://cc.nankai.edu.cn/13281/list.htm
374,合作院校分布,http://cc.nankai.edu.cn/13289/list.htm
375,联合培养项目,http://cc.nankai.edu.cn/13290/list.htm
376,最新动态,http://cc.nankai.edu.cn/13291/list.htm
377,学院公告,http://cc.nankai.edu.cn/13292/list.htm
378,学生工作通知,http://cc.nankai.edu.cn/13293/list.htm
